Name,Author,Goodreads Rating,Year Published,
Mindset: The new psychology of success,"Carol S. Dweck,Ph.D.",[4.04](https://www.goodreads.com/book/show/40745.Mindset),2006,
The Power of Habit: Why We Do What We Do In Life And Business,Charles Duhigg,[4.03](https://www.goodreads.com/book/show/12609433-the-power-of-habit),2012,
The Upside of Irrationality: The Unexpected Benefits of Defying Logic,Dan Ariely,[4.00](https://www.goodreads.com/book/show/7815744-the-upside-of-irrationality),,
Outsmarting IQ: The Emerging Science of Learnable Intelligence,David Perkins,[4.00](https://www.goodreads.com/book/show/1008488.Outsmarting_Iq),1995,
The Art of War,Sun Tzu,[3.95](https://www.goodreads.com/book/show/10534.The_Art_of_War),2005,
Willpower: Rediscovering the Greatest Human Strength,"Ron P. Baumeister,John Tierney",[3.95](https://www.goodreads.com/book/show/11104933-willpower),2011,
A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,[3.95](https://www.goodreads.com/book/show/99315.A_Whole_New_Mind),,
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,[3.92](https://www.goodreads.com/book/show/100247.Vagabonding),,
"Supernormal: Science,Yoga,and the Evidence for Extraordinary Psychic Abilities",Dean Radin,[3.91](https://www.goodreads.com/book/show/8694125-alone-together),2013,
"Prisoner's Dilemma",William Poundstone,[3.91](https://www.goodreads.com/book/show/29506.Prisoner_s_Dilemma),1993,
The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,[3.90](https://www.goodreads.com/book/show/373969.The_Stuff_of_Thought),2007,
Consilience: The Unity of Knowledge,Edward O. Wilson,[3.90](https://www.goodreads.com/book/show/55981.Consilience),1999,
"Why We Make Mistakes: How We Look Without Seeing,Forget Things in Seconds,and Are All Pretty Sure We Are Way Above Average",Joseph T. Hallinan,[3.87](https://www.goodreads.com/book/show/5040579-why-we-make-mistakes),2009,
"You Just Don't Understand: Women and Men in Conversation",Deborah Tannen,[3.86](https://www.goodreads.com/book/show/147222.You_Just_Don_t_Understand),2007,
Just the Arguments: 100 of the Most Important Arguments in Western Philosophy,"Michael Bruce,Steven Barbone",[3.85](https://www.goodreads.com/book/show/12838972-just-the-arguments),2011,
What the Dog Saw: and other adventures,Malcolm Gladwell,[3.82](https://www.goodreads.com/book/show/6516450-what-the-dog-saw-and-other-adventures),2009,
"Spent: Sex,Evolution,and Consumer Behavior",Geoffrey Miller,[3.82](https://www.goodreads.com/book/show/6283340-spent),,
Games People Play: The Basic Handbook of Transactional Analysis,Eric Berne.,[3.81](https://www.goodreads.com/book/show/49176.Games_People_Play),,
This Will Make You Smarter: New Scientific Concepts to Improve Your Thinking,John Brockman,[3.81](https://www.goodreads.com/book/show/13035774-this-will-make-you-smarter),2012,
Intuition Pumps And Other Tools for Thinking,Daniel C. Dennett,[3.80](https://www.goodreads.com/book/show/18378002-intuition-pumps-and-other-tools-for-thinking),2014,
Jonathan Livingston Seagull,Richard Bach,[3.80](https://www.goodreads.com/book/show/71728.Jonathan_Livingston_Seagull),,
Why Does the World Exist?: An Existential Detective Story,Jim Holt,[3.77](http://www.goodreads.com/book/show/8854815-why-does-the-world-exist),2012,
The Social Contract,"Jean-Jacques Rousseau,Maurice Cranston",[3.75](https://www.goodreads.com/book/show/12651.The_Social_Contract),,
The Ethical Brain: The Science of Our Moral Dilemmas,Michael S. Gazzaniga,[3.70](https://www.goodreads.com/book/show/328734.The_Ethical_Brain),2006,
Why Smart People Can Be So Stupid,Robert J Sternberg,[3.68](https://www.goodreads.com/book/show/300300.Why_Smart_People_Can_Be_So_Stupid),2003,
Alone Together: Why We Expect More from Technology and Less from Each Others,Sherry Turkle,[3.62](http://www.goodreads.com/book/show/8694125-alone-together),2011,
How to Win Every Argument: The Use and Abuse of Logic,Madsen Pirie,[3.55](https://www.goodreads.com/book/show/112731.How_to_Win_Every_Argument),2006,
Rapt: Attention and the Focused Life: Winifred Gallagher,Winifred Gallagher,[3.54](https://www.goodreads.com/book/show/6262510-rapt),,
"The Fine Art of Small Talk: How To Start a Conversation,Keep It Going,Build Networking Skills -- and Leave a Positive Impression",Debra Fine,[3.36](https://www.goodreads.com/book/show/93409.The_Fine_Art_of_Small_Talk),2005,
Snoop: What Your Stuff Says About You: Sam Gosling,Sam Gosling,[3.33](https://www.goodreads.com/book/show/1581330.Snoop),,
